Training accuracy,Training loss_epoch,Training loss_step,Validation accuracy,Validation loss_epoch,Validation loss_step,epoch,step
,,0.006776753813028336,,,,0,49
,,,,,0.006626760121434927,,0
,,,,,0.006579569540917873,,1
,,,,,0.0013220738619565964,,2
,,,,,0.003051226958632469,,3
,,,,,0.003829271998256445,,4
,,,,,0.0027192365378141403,,5
,,,,,0.0029139542020857334,,6
,,,,,0.005573601461946964,,7
,,,,,0.007122580893337727,,8
,,,,,0.007437665015459061,,9
,,,0.9800000190734863,0.004536256194114685,,0,53
0.9194117784500122,0.02018718235194683,,,,,0,53
,,0.0033692556899040937,,,,1,99
,,,,,0.003818246303126216,,10
,,,,,0.0025272418279200792,,11
,,,,,0.0005279641482047737,,12
,,,,,0.0010997116332873702,,13
,,,,,0.0018866367172449827,,14
,,,,,0.0006355422083288431,,15
,,,,,0.0012063446920365095,,16
,,,,,0.0035655430983752012,,17
,,,,,0.0027567718643695116,,18
,,,,,0.0019021426560357213,,19
,,,0.9916666746139526,0.0019986459519714117,,1,107
0.9835293889045715,0.003089625621214509,,,,,1,107
,,0.0006361238774843514,,,,2,149
,,,,,0.004863839130848646,,20
,,,,,0.0034988841507583857,,21
,,,,,0.001360168680548668,,22
,,,,,0.0010445492807775736,,23
,,,,,0.0013549671275541186,,24
,,,,,0.0006149527616798878,,25
,,,,,0.0011660458985716105,,26
,,,,,0.005097523331642151,,27
,,,,,0.0036413283087313175,,28
,,,,,0.001546830520965159,,29
,,,0.9866666793823242,0.002477047499269247,,2,161
0.9926470518112183,0.0013922583311796188,,,,,2,161
,,0.0008032103069126606,,,,3,199
,,,,,0.003367425873875618,,30
,,,,,0.001580571522936225,,31
,,,,,0.0006625663954764605,,32
,,,,,0.0008074234938248992,,33
,,,,,0.0008310365956276655,,34
,,,,,0.00029021629597991705,,35
,,,,,0.00150039023719728,,36
,,,,,0.0015607767272740602,,37
,,,,,0.0029326945077627897,,38
,,,,,0.0006137099117040634,,39
,,,0.9883333444595337,0.0014680791646242142,,3,215
0.9961764812469482,0.0007967157871462405,,,,,3,215
,,8.032169716898352e-05,,,,4,249
,,,,,0.0024035784881561995,,40
,,,,,0.0007400349131785333,,41
,,,,,0.0002649640664458275,,42
,,,,,0.00019909207185264677,,43
,,,,,0.0010192542104050517,,44
,,,,,8.916007936932147e-05,,45
,,,,,0.0009465288603678346,,46
,,,,,0.001912869862280786,,47
,,,,,0.0017830878496170044,,48
,,,,,0.00021241347712930292,,49
,,,0.9916666746139526,0.0010067439870908856,,4,269
0.9994117617607117,0.00038708915235474706,,,,,4,269
,,9.293732000514865e-05,,,,5,299
,,,,,0.0020457040518522263,,50
,,,,,0.0005886172875761986,,51
,,,,,0.00020061017130501568,,52
,,,,,8.162541053025052e-05,,53
,,,,,0.0004854778235312551,,54
,,,,,6.699367804685608e-05,,55
,,,,,0.0007466733222827315,,56
,,,,,0.0029094365891069174,,57
,,,,,0.0015120473690330982,,58
,,,,,6.990986730670556e-05,,59
,,,0.9950000047683716,0.0009240962099283934,,5,323
1.0,0.00023224353208206594,,,,,5,323
,,0.00018210479174740613,,,,6,349
,,,,,0.0024596978910267353,,60
,,,,,0.0009363872813992202,,61
,,,,,0.00014330015983432531,,62
,,,,,0.00017420585209038109,,63
,,,,,0.0006264512776397169,,64
,,,,,4.183494456810877e-05,,65
,,,,,0.0008307044627144933,,66
,,,,,0.0016021322226151824,,67
,,,,,0.0011947721941396594,,68
,,,,,8.65635447553359e-05,,69
,,,0.9950000047683716,0.0008578076958656311,,6,377
1.0,0.00014895311323925853,,,,,6,377
,,6.028710413374938e-05,,,,7,399
,,,,,0.0014796967152506113,,70
,,,,,0.00048493975191377103,,71
,,,,,0.00012380845146253705,,72
,,,,,5.6733777455519885e-05,,73
,,,,,0.0008628788054920733,,74
,,,,,2.7254200176685117e-05,,75
,,,,,0.0007144404225982726,,76
,,,,,0.002316978992894292,,77
,,,,,0.0011329117696732283,,78
,,,,,6.694108742522076e-05,,79
,,,0.9950000047683716,0.0007706395699642599,,7,431
1.0,8.676993456901982e-05,,,,,7,431
,,0.00017660620505921543,,,,8,449
,,,,,0.0013860835460945964,,80
,,,,,0.00036841919063590467,,81
,,,,,7.632857887074351e-05,,82
,,,,,4.74677981401328e-05,,83
,,,,,0.0011767223477363586,,84
,,,,,2.278811007272452e-05,,85
,,,,,0.0009478083229623735,,86
,,,,,0.001988873351365328,,87
,,,,,0.0009077343856915832,,88
,,,,,8.483714918838814e-05,,89
,,,0.9950000047683716,0.0007417642627842724,,8,485
1.0,6.394759839167818e-05,,,,,8,485
,,5.720003537135199e-05,,,,9,499
,,,,,0.0014753247378394008,,90
,,,,,0.00038092347676865757,,91
,,,,,6.687391578452662e-05,,92
,,,,,7.546689448645338e-05,,93
,,,,,0.001432350603863597,,94
,,,,,2.14310857700184e-05,,95
,,,,,0.0013371944660320878,,96
,,,,,0.0015416319947689772,,97
,,,,,0.0007495650788769126,,98
,,,,,9.219675121130422e-05,,99
,,,0.996666669845581,0.0007589691667817533,,9,539
1.0,4.631702176993713e-05,,,,,9,539
,,2.7378626327845268e-05,,,,10,549
,,,,,0.0010755880502983928,,100
,,,,,0.0003136842278763652,,101
,,,,,6.156731251394376e-05,,102
,,,,,4.1782695916481316e-05,,103
,,,,,0.0013518030755221844,,104
,,,,,1.2995967153983656e-05,,105
,,,,,0.0009972716215997934,,106
,,,,,0.002093780320137739,,107
,,,,,0.000803063390776515,,108
,,,,,6.753569323336706e-05,,109
,,,0.9950000047683716,0.0007228653412312269,,10,593
1.0,3.984673458035104e-05,,,,,10,593
,,9.91161050478695e-06,,,,11,599
,,,,,0.0011067175073549151,,110
,,,,,0.00034100579796358943,,111
,,,,,6.174243753775954e-05,,112
,,,,,4.5688248064834625e-05,,113
,,,,,0.0012821521377190948,,114
,,,,,1.2398739272612147e-05,,115
,,,,,0.0010521281510591507,,116
,,,,,0.002233178121969104,,117
,,,,,0.0007056179456412792,,118
,,,,,5.444248381536454e-05,,119
,,,0.9950000047683716,0.0007318448042497039,,11,647
1.0,2.972920992760919e-05,,,,,11,647
,,1.3333695278561208e-05,,,,12,649
,,2.617523023218382e-05,,,,12,699
,,,,,0.0014668296789750457,,120
,,,,,0.00040491385152563453,,121
,,,,,5.068488826509565e-05,,122
,,,,,9.632855653762817e-05,,123
,,,,,0.0012961607426404953,,124
,,,,,1.5069354049046524e-05,,125
,,,,,0.0014219890581443906,,126
,,,,,0.0014615043764933944,,127
,,,,,0.0006035950500518084,,128
,,,,,8.200201409636065e-05,,129
,,,0.9950000047683716,0.000730434781871736,,12,701
1.0,2.6075265850522555e-05,,,,,12,701
,,2.9183600418036804e-05,,,,13,749
,,,,,0.0013111813459545374,,130
,,,,,0.00038383895298466086,,131
,,,,,7.013619324425235e-05,,132
,,,,,6.338408275041729e-05,,133
,,,,,0.000852094788569957,,134
,,,,,7.1033746280591e-06,,135
,,,,,0.0007475081365555525,,136
,,,,,0.002016337588429451,,137
,,,,,0.0008764195372350514,,138
,,,,,3.721379835042171e-05,,139
,,,0.9950000047683716,0.0006764756399206817,,13,755
1.0,2.1813460989505984e-05,,,,,13,755
,,1.3649253560288344e-05,,,,14,799
,,,,,0.0012595189036801457,,140
,,,,,0.00034060413599945605,,141
,,,,,6.0483129345811903e-05,,142
,,,,,6.81950114085339e-05,,143
,,,,,0.0010764156468212605,,144
,,,,,5.96583913647919e-06,,145
,,,,,0.0010194039205089211,,146
,,,,,0.0017014513723552227,,147
,,,,,0.0006840566056780517,,148
,,,,,3.985705188824795e-05,,149
,,,0.9950000047683716,0.0006646443507634103,,14,809
1.0,1.8577115042717196e-05,,,,,14,809
,,1.7101881894632243e-05,,,,15,849
,,,,,0.0007532690069638193,,150
,,,,,0.00023071686155162752,,151
,,,,,4.2620515159796923e-05,,152
,,,,,2.7184574719285592e-05,,153
,,,,,0.0017180844442918897,,154
,,,,,5.022320237912936e-06,,155
,,,,,0.0010603241389617324,,156
,,,,,0.002161022974178195,,157
,,,,,0.0006497996510006487,,158
,,,,,4.551618985715322e-05,,159
,,,0.9950000047683716,0.0007109453435987234,,15,863
1.0,1.6496620446559973e-05,,,,,15,863
,,7.278230896190507e-06,,,,16,899
,,,,,0.0010946510592475533,,160
,,,,,0.0003462068270891905,,161
,,,,,4.830023681279272e-05,,162
,,,,,7.108168210834265e-05,,163
,,,,,0.001136020408011973,,164
,,,,,4.59903367300285e-06,,165
,,,,,0.0009006143664009869,,166
,,,,,0.0018856467213481665,,167
,,,,,0.0007147705764509737,,168
,,,,,3.2328025554306805e-05,,169
,,,0.9950000047683716,0.0006628282135352492,,16,917
1.0,1.389532826578943e-05,,,,,16,917
,,4.945725777361076e-06,,,,17,949
,,,,,0.0008504497236572206,,170
,,,,,0.000265949172899127,,171
,,,,,3.460018342593685e-05,,172
,,,,,3.8098442018963397e-05,,173
,,,,,0.001505679334513843,,174
,,,,,4.855585757468361e-06,,175
,,,,,0.0010973099851980805,,176
,,,,,0.001995289931073785,,177
,,,,,0.0006113802082836628,,178
,,,,,4.287731644581072e-05,,179
,,,0.9950000047683716,0.0006847670883871615,,17,971
1.0,1.1923770216526464e-05,,,,,17,971
,,8.365462235815357e-06,,,,18,999
,,,,,0.0010046105599030852,,180
,,,,,0.00028736478998325765,,181
,,,,,3.8360718463081867e-05,,182
,,,,,5.493618664331734e-05,,183
,,,,,0.0013527530245482922,,184
,,,,,4.7308394641731866e-06,,185
,,,,,0.0011577252298593521,,186
,,,,,0.0017806433606892824,,187
,,,,,0.0005353838205337524,,188
,,,,,4.003368303528987e-05,,189
,,,0.9950000047683716,0.0006646955735050142,,18,1025
1.0,1.052857351169223e-05,,,,,18,1025
,,5.6073035921144765e-06,,,,19,1049
,,,,,0.0008334529120475054,,190
,,,,,0.00022343205637298524,,191
,,,,,3.428132549743168e-05,,192
,,,,,2.8797940103686415e-05,,193
,,,,,0.0015098266303539276,,194
,,,,,3.846118943329202e-06,,195
,,,,,0.00104039185680449,,196
,,,,,0.002054464304819703,,197
,,,,,0.0005619580624625087,,198
,,,,,4.0521663322579116e-05,,199
,,,0.9950000047683716,0.0006726023275405169,,19,1079
1.0,9.15510918275686e-06,,,,,19,1079
